,Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Height,Foot,Birth country,Passport country,Comp,Season,Main Pos,Tier,Status,Defensive Ability,Pass Ability,KeyPass Ability,Dribbling Ability,positioning Defence,progressiveRuns,runs,defending1v1,touchQuality,crossing,positioning Midfield,ballPlaying Deep,SetPieces Ability,Create Chances Ability,Sight play,decisionMake,Concentration Ability,Finishing Ability,Heading Ability,Interception Ability,Tackle Ability,Aerial Ability,Role,Role2,Stopper,Aerial CB,Ball Playing CB,Ball Carrying CB,Attacking FB,Wing Back,Inverted Wing Back,Defensive FB,Full Back CB,Ball Winner,Deep Lying Playmaker,Attacking Playmaker,Media Punta llegador,Box-to-box,Banda,Por dentro,Defensivo,Falso,False 9,Target Man,Box Forward,Advanced Forward,Score,Percentile,Potential
1501,L. Gustafsson,Norrköping,CF,28.0,0,0,26,2231,0,0,Sweden,Sweden,Sweden 2nd Division,Season,Forward,0,Titular,4.688766519823789,48.484848484848484,84.84848484848486,98.0,28.0,86.0,8.130176211453744,5.43898678414097,8.438325991189426,8.823788546255507,3.7268722466960353,46.0,42.254885492474244,90.0,81.81818181818184,92.0,35.0,92.0,75.51020408163265,6.0,57.0,94.94949494949496,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.25,87.35,95.03,82.09,100.0,100.0,Max
1502,Cristiane,Santos,CF,37.0,0,0,15,1369,170,left,Brazil,Brazil,Brazil,Season,Forward,0,Titular,2.8165198237885463,16.161616161616163,98.98989898989899,34.0,2.0,36.0,5.0528634361233475,4.107929515418502,8.57466960352423,4.0378854625550655,1.5955947136563875,38.0,37.29379362373212,87.0,83.83838383838385,96.0,16.0,99.0,98.97959183673468,1.0,47.0,81.81818181818184,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.59,88.52,94.11,82.45,98.38398032671704,99.0,Max
1503,C. Girelli,Juventus,CF,32.0,0,0,18,1481,174,0,Italy,Italy,Italy,Season,Forward,0,Titular,2.102202643171806,90.90909090909092,78.7878787878788,14.000000000000002,64.0,14.0,3.129955947136564,2.2940528634361237,7.8286343612334806,6.974008810572687,6.04977973568282,79.0,35.29244406304638,79.0,84.84848484848486,89.0,28.000000000000004,92.0,97.95918367346937,21.0,17.0,91.91919191919193,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.73,86.93,94.07,80.71,98.31371860179166,99.0,Max
1504,E. Ijeh,Växjö,CF,21.0,0,0,25,2182,0,0,Sweden,Sweden,Sweden 2nd Division,Season,Forward,0,Titular,5.012555066079295,88.8888888888889,89.89898989898991,94.0,77.0,62.0,5.4610132158590305,2.870704845814978,7.561453744493392,5.316299559471366,6.899118942731278,82.0,6.06146526824195,95.0,84.84848484848486,74.0,35.0,96.0,75.51020408163265,23.0,17.0,86.86868686868688,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14,82.25,93.77,79.7,97.78675566485157,99.0,Max
1505,E. Thorsnes,Vålerenga,CF,34.0,0,0,24,2023,174,0,Norway,Norway,Norway,Season,Forward,0,Titular,5.925991189427313,54.545454545454554,50.50505050505052,7.000000000000001,46.0,20.0,5.05,3.701101321585903,6.281718061674009,3.336123348017621,4.705726872246696,59.0,6.06146526824195,94.0,51.51515151515152,76.0,32.0,100.0,91.83673469387755,12.0,38.0,79.7979797979798,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05,83.1,93.74,76.05,97.73405937115757,99.0,Max
1506,K. Shaw,Manchester City,CF,26.0,0,0,15,1375,0,0,Jamaica,Jamaica,England,Season,Forward,0,Titular,4.505066079295155,46.46464646464647,79.7979797979798,76.0,78.0,72.0,6.682378854625552,4.691189427312776,7.226651982378854,6.293832599118943,7.129515418502203,48.0,6.06146526824195,72.0,70.70707070707071,73.0,77.0,91.0,100.0,27.0,56.0,93.93939393939395,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.18,84.78,93.52,79.54,97.34761988406817,99.0,Max
1507,A. Vangsgaard,PSG,CF,26.0,0,0,25,2214,0,0,Denmark,Denmark,Sweden,Season,Forward,0,Titular,4.465638766519824,48.484848484848484,75.75757575757576,31.0,87.0,67.0,6.605947136563875,4.677533039647576,6.303303964757709,7.536563876651982,7.670044052863436,39.0,6.06146526824195,61.0,66.66666666666667,69.0,74.0,91.0,97.95918367346937,35.0,46.0,88.8888888888889,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48,80.13,93.28,74.77,96.92604953451608,99.0,Max
1508,C. Burkenroad,Monterrey,CF,29.0,0,0,30,2694,178,0,United States,"United States, Mexico",Mexico,Season,Forward,0,Titular,5.111453744493391,42.42424242424242,60.606060606060616,33.0,40.0,31.0,4.4374449339207045,4.083480176211454,6.705286343612334,7.363436123348018,4.100440528634361,55.0,6.06146526824195,91.0,63.63636363636365,79.0,21.0,99.0,92.85714285714285,3.0,43.0,73.73737373737374,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68,78.99,93.21,74.48,96.80309151589671,99.0,Max
1509,E. Viens,Kristianstad,CF,26.0,0,0,26,2466,0,0,Canada,Canada,Sweden,Season,Forward,0,Titular,5.311894273127754,14.14141414141414,85.85858585858587,75.0,19.0,93.0,8.556167400881057,4.913876651982379,7.881277533039648,7.629955947136563,3.0176211453744495,26.0,6.06146526824195,69.0,67.6767676767677,85.0,26.0,100.0,0.0,3.0,60.0,66.66666666666667,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55,78.72,92.93,77.11,96.31125944141931,99.0,Max
1510,M. Fishel,Tigres UANL,CF,21.0,0,0,33,2911,170,0,United States,United States,Mexico,Season,Forward,0,Titular,4.541850220264317,44.44444444444445,90.90909090909092,48.0,43.0,32.0,4.094273127753304,2.193832599118943,8.267400881057267,5.548017621145375,4.548458149779735,70.0,6.06146526824195,93.0,84.84848484848486,81.0,13.0,98.0,98.97959183673468,6.0,17.0,73.73737373737374,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.49,79.47,92.84,77.98,96.15317056033726,99.0,Max
